family,method,nmse_exact,acc_exact
chain,bayes_all,0.610965479416577,0.7110137019903539
chain,local_bayes_r1,0.6584081411549935,0.6942846272709479
chain,outer_t16,0.6169915047351489,0.7107001136752121
chain,outer_t2,0.7609360435619031,0.6941820570901248
cross,bayes_all,0.5667453212432317,0.7266634602722749
cross,local_bayes_r1,0.6063153907679873,0.7130413270564229
cross,outer_t16,0.5716770843798177,0.7264034235946137
cross,outer_t2,0.712858717638447,0.7128788804404645
grid,bayes_all,0.6379927282310539,0.7009594776085404
grid,local_bayes_r1,0.6940260800810922,0.6812355184923063
grid,outer_t16,0.6437707711240936,0.7007832914239042
grid,outer_t2,0.779140866628362,0.6809531172289366
grid_rewired,bayes_all,0.6270655217043668,0.7048169473739543
grid_rewired,local_bayes_r1,0.6849119797627657,0.684555682812236
grid_rewired,outer_t16,0.6324366690820118,0.7046668107918026
grid_rewired,outer_t2,0.7734581892753251,0.684296687805136
tree,bayes_all,0.7054802783725935,0.6778557670738945
tree,local_bayes_r1,0.7490931246755577,0.6614640641479921
tree,outer_t16,0.7091254017024461,0.6775864332050572
tree,outer_t2,0.799680387374814,0.6613211118296903
