method,nmse_exact,acc_exact,nmse_mc,acc_mc
aligned_mean_calibrated,0.8192136671753762,0.626298013319995,0.8193512396886196,0.6246110026041667
bayes_all,0.6296498657935645,0.7042618708638035,0.6303043142821105,0.7040218098958333
frozen_outer_t16,0.7652148408957702,0.6867263708788705,0.7646041073085285,0.6869449869791666
gs_t16,0.6301674241285294,0.7042269602448653,0.6307786185330346,0.704013671875
gs_t2,0.7297113038221509,0.6930190506975878,0.7286208940099399,0.6935758463541667
gs_t4,0.6618898906277954,0.7013260337175681,0.6619136589396064,0.7011458333333334
gs_t8,0.6367403392972556,0.7037769764796803,0.6371970637166975,0.7035123697916666
local_bayes_r1,0.6785509432884793,0.6869162439559809,0.6797827295671681,0.6871663411458333
local_bayes_r2,0.6435931685821633,0.6994960100576516,0.6437266870395968,0.6994694010416667
outer_t1,1.0,0.5,0.996418793672143,0.4998779296875
outer_t16,0.6348002862047036,0.7040280145381179,0.6353173065027067,0.7036604817708333
outer_t2,0.7652148408957702,0.6867263708788705,0.7646041073085285,0.6869449869791666
outer_t32,0.6300048764881346,0.7042460287316669,0.630626354369146,0.7039892578125
outer_t4,0.6920399586222619,0.6988070604873167,0.691955918618837,0.6986735026041667
outer_t64,0.6296519090641323,0.704261735506506,0.6303039377887864,0.7040218098958333
outer_t8,0.6524925021342572,0.7028337932991658,0.6527850615391491,0.7025146484375
output_only,1.0,0.5,0.996418793672143,0.4998779296875
reset_2x8,0.7652148408957702,0.6867263708788705,0.7646041073085285,0.6869449869791666
